price_id,current_price,price_change_24h,price_change_percentage_24h
0,107598.0,-1473.319665208459,-1.35079
1,2521.01,-33.404854155362955,-1.30773
2,1.0,8.415e-05,0.00841
3,2.3,-0.045759063934589006,-1.9477700000000002
4,667.39,-7.60836235282386,-1.12717
5,172.16,-5.452170193964235,-3.06963
6,0.999768,-3.0950965351217e-05,-0.0031000000000000003
7,0.219487,-0.00825171212456,-3.62332
8,0.746347,-0.0071342072388750006,-0.9468300000000001
9,0.27115,0.00027713,0.10231000000000001
10,2519.55,-35.40909293546247,-1.3859
11,107380.0,-1579.8315381089924,-1.44992
12,38.61,2.39,6.60712
13,3.5300000000000002,-0.11460064547378,-3.14771
14,3031.72,-39.25204198427855,-1.27816
15,15.08,-0.38726114391057104,-2.50296
16,22.43,-0.626187769191208,-2.7154100000000003
17,0.283276,-0.004274765194182,-1.48661
18,1.4110000000000002e-05,-3.6113572100399996e-07,-2.49503
19,8.91,0.093223,1.05789
20,413.72,-12.388863774054698,-2.90743
21,0.184356,-0.006354704045304,-3.3321300000000003
22,410.51,11.08,2.7736
23,2.9699999999999998,-0.061518476630576004,-2.02978
24,94.39,-2.339838338515505,-2.41895
25,2521.02,-36.482676909362,-1.4265
26,4.43,-0.162472381708321,-3.53541
27,0.999799,0.00015071,0.015080000000000001
28,5.3,-0.32086778970261803,-5.7097
29,2692.37,-35.83090425592491,-1.31335
30,1.001,0.00069123,0.06914000000000001
31,0.772559,-0.005435632920868,-0.69867
32,1.3040000000000002e-05,-8.83334663992e-07,-6.34547
33,1.0,-0.0007391145214410001,-0.07385000000000001
34,32.24,0.363469,1.14014
35,107548.0,-1583.6419200372184,-1.45112
36,263.22,-1.464732505391055,-0.55339
37,0.999922,-0.00019961441811000002,-0.019960000000000002
38,422.76,-12.414538956582192,-2.85276
39,6.03,-0.168784082790813,-2.72186
40,2.68,-0.11786748385026401,-4.20542
41,5.14,-0.259309201760405,-4.80287
42,207.25,-6.516793442176947,-3.04854
43,52.03,-0.30683883179729304,-0.5862900000000001
44,1.0,0.0,0.0
45,0.923836,-0.026557314582081003,-2.79435
46,0.09505799999999999,-0.0009480800984230001,-0.9875200000000001
47,18.04,-0.536594565656642,-2.88898
48,0.104352,-0.004822781600779,-4.4175
49,5.12,-0.13894940964152,-2.64106
50,1.17,-3.316122538566e-06,-0.00028000000000000003
51,32.74,-1.8089077580229542,-5.23625
52,21.16,-0.21281992605134903,-0.9958600000000001
53,12.57,-0.46457802511953405,-3.56361
54,0.7330749999999999,-0.003991063919601,-0.5414800000000001
55,4.59,-0.12653554465236902,-2.68345
56,0.02670144,-0.0009630034068210001,-3.48101
57,1.0,-2.131023804397e-05,-0.0021300000000000004
58,4.73,-0.01121529269692,-0.23666
59,0.364596,-0.0066845863637340006,-1.80041
60,0.806928,-0.055042045075277005,-6.38561
61,0.231018,-0.0034762253269160002,-1.48243
62,1.35,-0.07212849445677601,-5.07621
63,106793.0,-2176.7403566290886,-1.99756
64,1.052,9.944000000000001e-05,0.00945
65,4.41,-0.018356369581978,-0.41442
66,0.38353000000000004,-0.012136121731372001,-3.06726
67,2.77,-0.08777936082255501,-3.07163
68,0.215223,-0.007014456490638,-3.15629
69,0.9992209999999999,-0.000684701003876,-0.06848
70,2.49,-0.06425605348551,-2.5137400000000003
71,4.6,-0.065173962137129,-1.39836
72,0.530126,-0.030810205436037002,-5.49264
73,2523.28,-34.058078437853055,-1.33178
74,1.969e-05,-1.920579355515e-06,-8.88871
75,181.35,-5.635488999405766,-3.01391
76,0.44463199999999997,-0.028835182175058004,-6.09022
77,11.22,0.025914780000000002,0.23158
78,1.3900000000000001,-0.091049264775812,-6.13786
79,93.28,-3.546505697134776,-3.66265
80,0.8622449999999999,-0.046251492092083006,-5.09099
81,2631.26,-37.7326939357622,-1.41374
82,1.26,-0.011751547677982001,-0.9230600000000001
83,1.9100000000000001,-0.12685639805373802,-6.24311
84,0.7250489999999999,-0.027801258617594003,-3.6928
85,0.01866091,-5.1880510794029007e-05,-0.27725
86,12.47,-1.083036803404372,-7.99156
87,2862.89,-39.94488370156887,-1.37607
88,1.0,-0.0007166765055680001,-0.07161000000000001
89,4.2,-0.099957120168241,-2.32299
90,0.21520299999999998,-0.011777947400274,-5.18896
91,0.751273,0.01433613,1.94537
92,0.6164339999999999,-0.022273236261409,-3.48724
93,0.06782,-0.001042249047661,-1.51353
94,1.049,-0.068221512788881,-6.10664
95,107439.0,-1312.6154550825595,-1.20698
96,0.10550000000000001,-0.00403836898214,-3.68672
97,0.7419319999999999,-0.032218303856472,-4.16177
98,1624.53,-38.68359510558912,-2.32584
99,222.84,-7.166055687367049,-3.11563
