market_id,market_cap_rank,high_24h,low_24h,price_change_24h,price_change_percentage_24h
90,91,0.22702899999999998,0.213108,-0.011777947400274,-5.18896
91,92,0.7807489999999999,0.716028,0.01433613,1.94537
92,93,0.6389800000000001,0.607317,-0.022273236261409,-3.48724
93,94,0.069071,0.067414,-0.001042249047661,-1.51353
94,95,1.13,1.022,-0.068221512788881,-6.10664
95,96,108755.0,106682.0,-1312.6154550825595,-1.20698
96,97,0.10963,0.104322,-0.00403836898214,-3.68672
97,98,0.7741500000000001,0.734713,-0.032218303856472,-4.16177
98,99,1663.21,1601.88,-38.68359510558912,-2.32584
99,100,230.22,219.13,-7.166055687367049,-3.11563
